                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69217,                 2.4805,                 2.4066,                 1.2368,                0.00306,                      1,                0.89455,                0.59938,                0.00306,                      1,                0.82438,                0.52483,                0.58498,                 2.0343,                 3.0547,                 1.1033,                0.00034,                0.00034,                0.00034
                      2,                0.73015,                 1.7545,                 1.9327,                 1.2941,                0.00296,                 0.9697,                0.80748,                0.52762,                0.00296,                 0.9697,                0.80789,                0.48162,                0.75736,                 2.7447,                 3.0188,                 1.3467,             0.00068614,             0.00068614,             0.00068614
                      3,                0.82714,                 1.9687,                 1.7457,                 1.2993,                0.65292,                0.28554,                 0.4779,                0.30735,                0.65292,                0.28554,                0.47132,                0.35179,                0.88347,                 1.6811,                 2.8633,                 1.6097,               0.001018,               0.001018,               0.001018
                      4,                0.67501,                 1.7363,                 1.5318,                 1.2268,                0.65292,                0.28554,                 0.4779,                0.30735,                0.65292,                0.28554,                0.47132,                0.35179,                0.88347,                 1.6811,                 2.8633,                 1.6097,              0.0013357,              0.0013357,              0.0013357
                      5,                0.72421,                 1.4893,                 1.6983,                 1.3091,                0.48832,                0.75199,                0.65133,                0.46578,                0.48832,                0.75199,                0.62635,                0.44171,                0.88821,                 2.4302,                 4.6411,                 1.6706,               0.001639,               0.001639,               0.001639
                      6,                0.79888,                 1.5912,                 1.6894,                 1.2933,                0.48832,                0.75199,                0.65133,                0.46578,                0.48832,                0.75199,                0.62635,                0.44171,                0.88821,                 2.4302,                 4.6411,                 1.6706,               0.001802,               0.001802,               0.001802
                      7,                 1.0039,                 1.5085,                  1.974,                 1.4428,                0.62908,                0.56556,                0.62076,                0.41057,                0.62908,                0.56556,                0.56794,                0.30587,                 1.1383,                 3.6776,                 4.1958,                 2.0246,              0.0017624,              0.0017624,              0.0017624
                      8,                0.96822,                 1.6993,                 1.6336,                 1.3936,                0.60821,                0.89395,                0.69839,                0.42943,                0.56736,                0.75509,                0.64003,                 0.3364,                 1.1873,                 2.7429,                  3.047,                 2.0733,              0.0017228,              0.0017228,              0.0017228
                      9,                0.96086,                 1.3149,                 1.6662,                 1.4058,                0.60821,                0.89395,                0.69839,                0.42943,                0.56736,                0.75509,                0.64003,                 0.3364,                 1.1873,                 2.7429,                  3.047,                 2.0733,              0.0016832,              0.0016832,              0.0016832
                     10,                0.91199,                 1.9441,                 1.6697,                 1.3373,                 0.8256,                0.84848,                0.91971,                0.58171,                 0.8256,                0.84848,                0.92168,                0.59541,                0.96118,                 1.6509,                 4.5582,                 1.8557,              0.0016436,              0.0016436,              0.0016436
                     11,                0.82638,                 1.8133,                 1.6048,                 1.2945,                 0.8256,                0.84848,                0.91971,                0.58171,                 0.8256,                0.84848,                0.92168,                0.59541,                0.96118,                 1.6509,                 4.5582,                 1.8557,               0.001604,               0.001604,               0.001604
