                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7766,                 2.2456,                 2.2352,                 1.3208,                0.00333,                      1,                0.76595,                 0.4649,                0.00333,                      1,                0.78277,                 0.5116,                0.88061,                 1.9632,                 2.9882,                 1.5761,                0.00048,                0.00048,                0.00048
                      2,                 0.7868,                 1.6753,                 1.6783,                 1.3108,                0.94269,                0.33598,                0.77411,                0.46984,                0.80234,                0.28571,                0.63591,                0.27268,                 1.1528,                 4.9038,                 2.8613,                 2.0198,              0.0009606,              0.0009606,              0.0009606
                      3,                0.95635,                 1.8626,                 1.6563,                 1.5144,                0.62168,                0.65306,                 0.7088,                0.39555,                0.60491,                0.63265,                0.65027,                 0.3704,                 1.2541,                      3,                 2.5591,                 2.1175,              0.0014214,              0.0014214,              0.0014214
                      4,                0.96985,                 1.9859,                 1.7601,                 1.4019,                0.22036,                0.42857,                0.26409,                0.11793,                0.23568,                0.43427,                0.26663,                0.11287,                 1.6709,                 3.1543,                 8.4652,                 2.4735,              0.0018624,              0.0018624,              0.0018624
                      5,                 1.0645,                 1.8786,                 1.7201,                 1.4439,                0.51129,                0.53061,                0.59548,                0.32575,                0.46849,                0.65306,                0.58694,                0.29441,                 1.2058,                 2.7508,                 4.3605,                 2.4058,              0.0018416,              0.0018416,              0.0018416
                      6,                0.98063,                 2.0415,                 1.6313,                 1.3947,                0.63377,                0.65306,                0.72871,                0.36717,                 0.3874,                0.46939,                0.26103,                  0.069,                 1.0949,                   6.76,                 2.7104,                 1.7781,               0.001802,               0.001802,               0.001802
                      7,                 1.0161,                 1.9597,                  1.627,                  1.493,                0.64651,                0.71429,                0.66342,                0.34763,                0.71028,                0.65049,                0.66277,                0.36392,                 1.0788,                 1.8778,                 2.9125,                 1.8237,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.037,                 1.7101,                  1.682,                 1.5052,                0.64651,                0.71429,                0.66342,                0.34763,                0.71028,                0.65049,                0.66277,                0.36392,                 1.0788,                 1.8778,                 2.9125,                 1.8237,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.0426,                 1.8335,                 1.6366,                 1.4823,                0.69172,                0.77551,                0.77516,                 0.4362,                0.65472,                0.73469,                0.76554,                0.51718,                 1.0125,                 1.9163,                 2.1438,                  1.749,              0.0016832,              0.0016832,              0.0016832
                     10,                0.99721,                 1.7279,                 1.5323,                 1.4541,                0.50619,                0.73469,                0.67069,                 0.4095,                0.56469,                 0.7551,                0.68561,                0.45245,                 1.0965,                   2.31,                 2.1977,                 1.7856,              0.0016436,              0.0016436,              0.0016436
                     11,                0.97572,                 1.7371,                 1.4535,                 1.4024,                0.69485,                0.88302,                0.84815,                0.59472,                0.69485,                0.88302,                0.84815,                0.67356,                0.86625,                 1.2929,                 3.0247,                 1.5669,               0.001604,               0.001604,               0.001604
                     12,                0.94428,                 1.7441,                 1.4891,                 1.3922,                0.69485,                0.88302,                0.84815,                0.59472,                0.69485,                0.88302,                0.84815,                0.67356,                0.86625,                 1.2929,                 3.0247,                 1.5669,              0.0015644,              0.0015644,              0.0015644
                     13,                 0.9482,                 1.5364,                 1.8739,                 1.3851,                0.74905,                0.91837,                0.90361,                0.62484,                0.74905,                0.91837,                0.90361,                0.66844,                0.93494,                 1.2769,                 2.2075,                 1.6227,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0047,                 1.6255,                 1.3976,                 1.4406,                0.80587,                0.97959,                0.93593,                0.57648,                0.80587,                0.97959,                0.93718,                0.62009,                0.97689,                 1.3024,                 2.1878,                 1.6834,              0.0014852,              0.0014852,              0.0014852
                     15,                0.98225,                 1.6344,                 1.4843,                 1.4193,                0.80483,                0.91837,                0.94147,                 0.6353,                0.85727,                0.85803,                0.94626,                0.70139,                0.92448,                 1.1708,                 1.7533,                 1.5559,              0.0014456,              0.0014456,              0.0014456
                     16,                 0.9132,                 1.4361,                 1.3366,                 1.3426,                0.84981,                0.81633,                0.91582,                0.57653,                0.87187,                0.83673,                0.93573,                0.67243,                   1.05,                0.89558,                 1.8586,                 1.6679,               0.001406,               0.001406,               0.001406
