                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94007,                 2.7081,                  2.477,                 1.3841,                0.00333,                      1,                0.78096,                0.60312,                0.00333,                      1,                0.78096,                 0.6315,                0.40488,                 1.1229,                 2.9784,                 1.1747,                0.00028,                0.00028,                0.00028
                      2,                 0.9226,                 1.8522,                 2.0745,                 1.3716,                0.00333,                      1,                0.89505,                0.57733,                0.00333,                      1,                0.89505,                0.63543,                0.73446,                 1.4404,                 2.9899,                 1.5156,             0.00056852,             0.00056852,             0.00056852
                      3,                0.73767,                 1.6937,                 1.4116,                  1.282,                 0.7013,                0.86099,                0.84121,                0.51659,                0.65172,                    0.8,                0.75249,                0.50666,                0.94011,                 1.8247,                 2.8389,                 1.7773,             0.00084515,             0.00084515,             0.00084515
                      4,                0.75393,                 1.6089,                 1.4134,                   1.23,                0.85123,                  0.763,                0.88042,                0.52933,                0.70871,                0.64909,                0.71307,                0.41185,                  1.183,                  2.443,                 2.4782,                 2.0438,              0.0011099,              0.0011099,              0.0011099
                      5,                0.90875,                 1.2027,                 1.3947,                 1.2704,                0.85123,                  0.763,                0.88042,                0.52933,                0.70871,                0.64909,                0.71307,                0.41185,                  1.183,                  2.443,                 2.4782,                 2.0438,              0.0013628,              0.0013628,              0.0013628
                      6,                  0.968,                 1.6519,                 1.5646,                 1.4156,                0.51614,                    0.7,                0.65645,                0.40268,                0.49522,                0.76667,                0.63996,                0.43075,                 1.3073,                 1.7927,                 3.3864,                 2.4061,              0.0016038,              0.0016038,              0.0016038
                      7,                0.84875,                 1.2387,                   1.57,                 1.3576,                0.51614,                    0.7,                0.65645,                0.40268,                0.49522,                0.76667,                0.63996,                0.43075,                 1.3073,                 1.7927,                 3.3864,                 2.4061,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2616,                 2.0337,                 2.0753,                  1.638,                0.70896,                0.36667,                 0.5116,                 0.2628,                 0.7815,                    0.4,                 0.5504,                0.34188,                 1.5189,                  1.575,                 2.7691,                 2.5438,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1206,                 1.6232,                  1.867,                 1.5278,                0.70896,                0.36667,                 0.5116,                 0.2628,                 0.7815,                    0.4,                 0.5504,                0.34188,                 1.5189,                  1.575,                 2.7691,                 2.5438,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.0223,                 1.1798,                 1.6228,                 1.4519,                 0.4304,                0.83333,                0.56795,                0.29991,                 0.4279,                0.83333,                0.57172,                0.32616,                 1.3935,                 1.3947,                 7.7215,                  2.685,              0.0016436,              0.0016436,              0.0016436
